Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor H,Pump,232.2276242516153,1.23,87.05559507701699
Heat Exchanger B,Pump,237.89230835651327,2.6337085754634244,96.95441341548735
Mixer F,Reactor,237.85067667431014,2.429635176220682,118.95796956181132
Reactor H,Reactor,222.64455760090772,2.9157117437017614,134.2
Distillation Column D,Heat Exchanger,226.32022492025345,2.487316508012829,59.302516652244734
Compressor E,Mixer,147.80892294451525,2.0386824059761106,86.73052178593011
Separator G,Reactor,315.16999999999996,1.3947669765243453,69.6221423761193
Heat Exchanger B,Reactor,161.2236892484966,1.23,88.07303900098934
Mixer F,Heat Exchanger,183.9403666737458,3.2778672657755505,46.15325017524746
Reactor A,Heat Exchanger,205.51682013270465,2.2324778346247247,101.56129804232549
Heat Exchanger I,Reactor,183.31089782847422,1.6073184106872362,69.65041980099882
Heat Exchanger B,Column,228.49063668605612,2.2356942425924435,34.1567753801642
Heat Exchanger B,Separator,216.8222433087539,2.272407125454999,72.94756014670774
Compressor E,Heat Exchanger,157.52514727132638,3.2634965354003636,95.99021185506089
Heat Exchanger B,Mixer,202.42867841780094,2.7692560326884683,130.0099181176398
Reactor A,Pump,208.92454321654918,3.259269446305267,125.97437464718061
Heat Exchanger B,Separator,182.13549784469953,3.096624143278532,40.466957062984626
Reactor H,Reactor,286.97719485122207,2.91707565029469,29.799999999999997
Distillation Column D,Pump,172.37034029956487,3.447055502703108,78.70697665783042
Heat Exchanger B,Column,196.89731081170922,2.6859637293851293,68.77925408706986
Reactor A,Pump,292.76453535416283,3.2620170365819625,110.4784111803421
Mixer F,Heat Exchanger,170.49491197279065,2.2099219076727197,46.08764298560518
Reactor H,Mixer,194.04817039817212,3.642286113739692,71.35453347864464
Reactor A,Compressor,207.3095628630405,1.4671557576604326,133.56201088759175
Heat Exchanger B,Pump,150.62703588597458,3.103274279635875,83.18073575360627
Reactor A,Heat Exchanger,203.23943156102916,1.23,58.756121429827004
Heat Exchanger B,Mixer,239.49596875616092,2.6049152877726205,97.56654812346272
Distillation Column D,Pump,222.8996285731477,2.4543269382270605,76.80618369893985
Separator G,Reactor,203.23525266931262,4.470000000000001,58.46431475822429
Compressor E,Compressor,213.1246553279388,1.9869719726599417,29.799999999999997
Separator G,Mixer,296.3919667004125,1.8667719861437133,32.10531610251475
Pump C,Heat Exchanger,151.07776638222796,4.470000000000001,72.59828712569944
Heat Exchanger I,Heat Exchanger,188.484845123239,2.9336334974771283,79.43005784211756
Reactor A,Reactor,209.4593170595352,2.963543764603552,87.85960663169969
Mixer F,Mixer,167.5616640409085,2.5008682505947073,129.18157066027098
Reactor A,Heat Exchanger,210.732764024562,3.548861356104712,97.32260214782968
Heat Exchanger I,Separator,150.47833136410662,2.7945044031687596,74.8153872132148
Mixer F,Pump,263.9032369299838,2.387348842662806,91.95601903219806
Compressor E,Pump,275.1431928441603,3.2826273199388414,81.54285231225157
Pump C,Separator,224.8562802023953,3.5376926736547913,134.1526955200446
Heat Exchanger I,Pump,202.1833845785346,3.384915673945541,106.12968235394052
Heat Exchanger B,Column,232.24597806361112,3.174403347161277,81.378813949579
Heat Exchanger I,Pump,227.26711790829924,1.7554544827642786,47.87633753385063
Separator G,Reactor,250.01332455004456,1.23,85.42924186068204
