Equipment Name,Type,Flowrate,Pressure,Temperature
Heat Exchanger 1,Heat Exchanger,198.9,1.8,85.3
Separator 1,Separator,218.6,2.7,71.7
Compressor 1,Compressor,245.5,4.3,116.3
Pump 1,Pump,174.0,3.6,42.4
Reactor 1,Reactor,153.1,2.3,117.1
Reactor 2,Reactor,163.2,2.4,119.4
Reactor 3,Reactor,159.4,2.4,123.6
Mixer 1,Mixer,188.4,1.5,56.6
Column 1,Column,316.0,2.2,99.3
Compressor 2,Compressor,238.1,4.0,104.3
Reactor 4,Reactor,160.4,2.4,124.4
Separator 2,Separator,230.8,2.7,75.5
Mixer 2,Mixer,168.3,1.4,62.9
Heat Exchanger 2,Heat Exchanger,193.6,1.9,85.1
Reactor 5,Reactor,173.6,2.4,117.3
Reactor 6,Reactor,155.0,2.3,126.6
Heat Exchanger 3,Heat Exchanger,195.5,1.8,83.4
Pump 2,Pump,175.5,3.3,40.3
Pump 3,Pump,177.8,3.4,38.2
Heat Exchanger 4,Heat Exchanger,191.8,1.9,84.0
Column 2,Column,309.7,2.3,96.9
Reactor 7,Reactor,149.8,2.4,122.9
Heat Exchanger 5,Heat Exchanger,201.1,1.9,81.4
Heat Exchanger 6,Heat Exchanger,204.5,1.9,82.3
Pump 4,Pump,172.4,3.4,39.4
Compressor 3,Compressor,260.9,4.5,110.5
Reactor 8,Reactor,164.2,2.4,123.7
Pump 5,Pump,171.4,3.2,37.5
Pump 6,Pump,171.4,3.3,39.3
Reactor 9,Reactor,151.7,2.2,124.1
Column 3,Column,294.0,2.1,91.5
Reactor 10,Reactor,153.0,2.5,123.2
Reactor 11,Reactor,158.9,2.3,132.0
Separator 3,Separator,240.7,3.0,78.1
Separator 4,Separator,220.6,2.9,78.9
Mixer 3,Mixer,175.0,1.5,55.3
Heat Exchanger 7,Heat Exchanger,190.1,2.0,82.9
Reactor 12,Reactor,153.1,2.4,116.5
Column 4,Column,314.4,2.2,97.6
Pump 7,Pump,182.2,3.2,41.6
Reactor 13,Reactor,150.3,2.3,121.8
Pump 8,Pump,183.8,3.4,38.2
Reactor 14,Reactor,146.6,2.3,115.0
Separator 5,Separator,206.1,3.0,80.0
Heat Exchanger 8,Heat Exchanger,194.4,1.8,83.9
Column 5,Column,335.4,2.1,100.2
Heat Exchanger 9,Heat Exchanger,193.9,1.9,85.4
Pump 9,Pump,171.1,3.1,40.9
Pump 10,Pump,165.7,3.7,40.2
Reactor 15,Reactor,155.7,2.4,122.3
Separator 6,Separator,215.0,2.8,78.3
Compressor 4,Compressor,244.2,4.1,108.5
Separator 7,Separator,230.9,3.0,76.4
Mixer 4,Mixer,186.0,1.5,62.9
Pump 11,Pump,174.2,3.3,37.2
Separator 8,Separator,206.9,2.7,79.4
Reactor 16,Reactor,165.7,2.3,121.2
Reactor 17,Reactor,157.0,2.4,126.4
Reactor 18,Reactor,151.7,2.4,121.8
Heat Exchanger 10,Heat Exchanger,201.0,1.8,82.2
Heat Exchanger 11,Heat Exchanger,208.1,1.9,79.3
Heat Exchanger 12,Heat Exchanger,192.2,1.9,80.8
Mixer 5,Mixer,187.7,1.6,58.2
Heat Exchanger 13,Heat Exchanger,195.2,1.7,88.1
Heat Exchanger 14,Heat Exchanger,193.2,1.9,85.3
Pump 12,Pump,180.0,3.3,39.6
Reactor 19,Reactor,159.0,2.4,127.2
Mixer 6,Mixer,176.4,1.5,64.4
Reactor 20,Reactor,141.6,2.5,121.6
Separator 9,Separator,220.3,2.7,74.8
Compressor 5,Compressor,265.9,4.4,113.2
Reactor 21,Reactor,155.8,2.2,119.5
Reactor 22,Reactor,152.9,2.4,123.0
Mixer 7,Mixer,189.6,1.5,60.5
Compressor 6,Compressor,278.4,4.3,108.1
Compressor 7,Compressor,273.2,4.5,120.5
Compressor 8,Compressor,248.6,4.4,102.5
Reactor 23,Reactor,160.5,2.3,117.5
Heat Exchanger 15,Heat Exchanger,202.2,1.7,79.0
